Gene_Name,Gene_ID,TF,Strand,Start,End
CMPK2,ENSG00000134326,IRF7,+,2608,2621
IFIT3,ENSG00000119917,IRF7,+,192,205
IFIH1,ENSG00000115267,IRF3,+,379,396
IFIH1,ENSG00000115267,IRF3,+,2973,2990
IFIH1,ENSG00000115267,IRF7,+,2978,2991
IFIH1,ENSG00000115267,IRF9,+,2976,2991
DDX58,ENSG00000107201,IRF7,+,1275,1288
DDX58,ENSG00000107201,IRF7,+,1523,1536
RTP4,ENSG00000136514,IRF3,+,2958,2975
RTP4,ENSG00000136514,IRF3,+,2976,2993
RTP4,ENSG00000136514,IRF7,+,2981,2994
RTP4,ENSG00000136514,IRF9,+,2955,2970
RTP4,ENSG00000136514,IRF9,+,2979,2994
ZMYND15,ENSG00000141497,IRF7,+,2810,2823
CD274,ENSG00000120217,IRF7,+,2891,2904
SAMD9L,ENSG00000177409,IRF3,+,2946,2963
SAMD9L,ENSG00000177409,IRF7,+,1221,1234
SAMD9L,ENSG00000177409,IRF7,+,1481,1494
SAMD9L,ENSG00000177409,IRF7,+,2945,2958
SAMD9L,ENSG00000177409,IRF7,+,2951,2964
SAMD9L,ENSG00000177409,IRF9,+,2949,2964
PARP14,ENSG00000173193,IRF3,+,2516,2533
PARP14,ENSG00000173193,IRF3,+,2965,2982
PARP14,ENSG00000173193,IRF7,+,2521,2534
PARP14,ENSG00000173193,IRF7,+,2970,2983
PARP14,ENSG00000173193,IRF9,+,2968,2983
IRF7,ENSG00000185507,IRF3,+,2716,2733
IRF7,ENSG00000185507,IRF7,+,2721,2734
IRF7,ENSG00000185507,IRF9,+,2719,2734
APOL2,ENSG00000128335,IRF7,+,1510,1523
SAMD9,ENSG00000205413,IRF3,+,2902,2919
SAMD9,ENSG00000205413,IRF3,+,2908,2925
SAMD9,ENSG00000205413,IRF7,+,1926,1939
SAMD9,ENSG00000205413,IRF7,+,2907,2920
SAMD9,ENSG00000205413,IRF9,+,2905,2920
BST2,ENSG00000130303,IRF3,+,2870,2887
BST2,ENSG00000130303,IRF7,+,2869,2882
BST2,ENSG00000130303,IRF7,+,2875,2888
BST2,ENSG00000130303,IRF9,+,2867,2882
SLFN12L,ENSG00000205045,IRF7,+,280,293
TAP1,ENSG00000168394,IRF3,+,2229,2246
TAP1,ENSG00000168394,IRF7,+,1004,1017
TAP1,ENSG00000168394,IRF7,+,1270,1283
TAP1,ENSG00000168394,IRF7,+,2234,2247
TAP1,ENSG00000168394,IRF9,+,2232,2247
TRIM14,ENSG00000106785,IRF7,+,1167,1180
PARP12,ENSG00000059378,IRF3,+,573,590
WARS,ENSG00000140105,IRF3,+,72,89
RNF213,ENSG00000173821,IRF7,+,2161,2174
CCL7,ENSG00000108688,IRF7,+,752,765
TMEM140,ENSG00000146859,IRF3,+,2941,2958
TMEM140,ENSG00000146859,IRF7,+,1643,1656
TMEM140,ENSG00000146859,IRF7,+,2946,2959
PNPT1,ENSG00000138035,IRF3,+,2473,2490
PNPT1,ENSG00000138035,IRF7,+,2952,2965
SOCS1,ENSG00000185338,IRF3,+,362,379
SOCS1,ENSG00000185338,IRF3,+,2887,2904
SOCS1,ENSG00000185338,IRF7,+,361,374
SOCS1,ENSG00000185338,IRF7,+,2892,2905
MLKL,ENSG00000168404,IRF7,+,1562,1575
DTX3L,ENSG00000163840,IRF7,+,1810,1823
GBP2,ENSG00000162645,IRF3,+,833,850
GBP2,ENSG00000162645,IRF9,+,836,851
TRIM21,ENSG00000132109,IRF7,+,1147,1160
PSMB9,ENSG00000240065,IRF3,+,2900,2917
PSMB9,ENSG00000240065,IRF7,+,2905,2918
PSMB9,ENSG00000240065,IRF9,+,2903,2918
NMI,ENSG00000123609,IRF3,+,2949,2966
NMI,ENSG00000123609,IRF7,+,2954,2967
TAP2,ENSG00000204267,IRF3,+,2936,2953
TAP2,ENSG00000204267,IRF7,+,2941,2954
TAP2,ENSG00000204267,IRF9,+,2939,2954
SERPINB9,ENSG00000170542,IRF3,+,645,662
HLA-F,ENSG00000204642,IRF7,+,2367,2380
SPTBN5,ENSG00000137877,IRF7,+,797,810
GALNT3,ENSG00000115339,IRF7,+,1638,1651
TRIM5,ENSG00000132256,IRF3,+,1736,1753
TRIM5,ENSG00000132256,IRF7,+,174,187
CCL2,ENSG00000108691,IRF3,+,886,903
SLC25A28,ENSG00000155287,IRF7,+,169,182
IRF2,ENSG00000168310,IRF3,+,2745,2762
IRF2,ENSG00000168310,IRF7,+,2750,2763
IFI16,ENSG00000163565,IRF3,+,1690,1707
SLC6A9,ENSG00000196517,IRF7,+,1694,1707
