Gene_Name,Gene_ID,TF,Strand,Start,End
MFSD10,ENSG00000109736,IRF7,+,852,865
KCNAB1,ENSG00000169282,IRF7,+,1761,1774
ZNF341,ENSG00000131061,IRF7,+,268,281
ZNF341,ENSG00000131061,IRF7,+,2717,2730
SFXN4,ENSG00000183605,IRF7,+,1495,1508
SDR9C7,ENSG00000170426,IRF7,+,417,430
ROBO3,ENSG00000154134,IRF3,+,2571,2588
WDR78,ENSG00000152763,IRF3,+,1742,1759
WDR78,ENSG00000152763,IRF7,+,531,544
WDR78,ENSG00000152763,IRF7,+,1058,1071
WDR78,ENSG00000152763,IRF7,+,1059,1072
SDHC,ENSG00000143252,IRF3,+,1651,1668
SDHC,ENSG00000143252,IRF3,+,1657,1674
SDHC,ENSG00000143252,IRF7,+,1650,1663
SDHC,ENSG00000143252,IRF7,+,1656,1669
SDHC,ENSG00000143252,IRF7,+,1662,1675
SDHC,ENSG00000143252,IRF7,+,2731,2744
HOOK3,ENSG00000168172,IRF7,+,229,242
HOOK3,ENSG00000168172,IRF7,+,1585,1598
STRAP,ENSG00000023734,IRF7,+,1686,1699
RNF6,ENSG00000127870,IRF7,+,1455,1468
KANK3,ENSG00000186994,IRF3,+,1315,1332
KANK3,ENSG00000186994,IRF3,+,1316,1333
KANK3,ENSG00000186994,IRF3,+,2507,2524
KANK3,ENSG00000186994,IRF7,+,1314,1327
KANK3,ENSG00000186994,IRF7,+,1320,1333
KANK3,ENSG00000186994,IRF7,+,2512,2525
KANK3,ENSG00000186994,IRF7,+,2522,2535
UPF3A,ENSG00000169062,IRF7,+,430,443
UPF3A,ENSG00000169062,IRF9,+,428,443
HLF,ENSG00000108924,IRF3,+,555,572
HLF,ENSG00000108924,IRF7,+,111,124
HLF,ENSG00000108924,IRF7,+,560,573
STK4,ENSG00000101109,IRF7,+,425,438
STK4,ENSG00000101109,IRF7,+,1068,1081
STK4,ENSG00000101109,IRF7,+,1658,1671
STK4,ENSG00000101109,IRF7,+,2980,2993
ZWILCH,ENSG00000174442,IRF7,+,2027,2040
MRO,ENSG00000134042,IRF7,+,305,318
MRO,ENSG00000134042,IRF7,+,1066,1079
MRO,ENSG00000134042,IRF7,+,2643,2656
SF3A3,ENSG00000183431,IRF3,+,715,732
SF3A3,ENSG00000183431,IRF7,+,549,562
SF3A3,ENSG00000183431,IRF7,+,720,733
SF3A3,ENSG00000183431,IRF7,+,2673,2686
UBFD1,ENSG00000103353,IRF7,+,944,957
UBFD1,ENSG00000103353,IRF7,+,2842,2855
TAF12,ENSG00000120656,IRF7,+,2119,2132
NTNG1,ENSG00000162631,IRF3,+,838,855
NTNG1,ENSG00000162631,IRF7,+,837,850
NTNG1,ENSG00000162631,IRF7,+,843,856
NTNG1,ENSG00000162631,IRF7,+,910,923
KCNE3,ENSG00000175538,IRF3,+,2052,2069
KCNE3,ENSG00000175538,IRF7,+,971,984
RWDD3,ENSG00000122481,IRF7,+,155,168
RWDD3,ENSG00000122481,IRF7,+,861,874
RWDD3,ENSG00000122481,IRF7,+,2035,2048
LRRC41,ENSG00000132128,IRF7,+,231,244
CNGA4,ENSG00000132259,IRF7,+,73,86
CNGA4,ENSG00000132259,IRF7,+,833,846
EDAR,ENSG00000135960,IRF7,+,1434,1447
SUCLA2,ENSG00000136143,IRF7,+,2097,2110
SUCLA2,ENSG00000136143,IRF7,+,2240,2253
SUCLA2,ENSG00000136143,IRF7,+,2275,2288
PYROXD2,ENSG00000119943,IRF7,+,2347,2360
CCDC173,ENSG00000154479,IRF7,+,840,853
RBMX2,ENSG00000134597,IRF7,+,2833,2846
DPY19L4,ENSG00000156162,IRF7,+,2465,2478
APOOL,ENSG00000155008,IRF7,+,977,990
APOOL,ENSG00000155008,IRF7,+,983,996
UNC13A,ENSG00000130477,IRF7,+,574,587
SLC20A2,ENSG00000168575,IRF7,+,111,124
SLC20A2,ENSG00000168575,IRF7,+,975,988
PIBF1,ENSG00000083535,IRF7,+,1448,1461
PIBF1,ENSG00000083535,IRF7,+,2012,2025
EIF2B5,ENSG00000145191,IRF7,+,946,959
EIF2B5,ENSG00000145191,IRF7,+,2395,2408
P2RY10,ENSG00000078589,IRF7,+,14,27
P2RY10,ENSG00000078589,IRF7,+,75,88
P2RY10,ENSG00000078589,IRF7,+,1385,1398
P2RY10,ENSG00000078589,IRF7,+,2018,2031
METTL21A,ENSG00000144401,IRF3,+,1480,1497
METTL21A,ENSG00000144401,IRF3,+,1481,1498
METTL21A,ENSG00000144401,IRF7,+,1479,1492
METTL21A,ENSG00000144401,IRF7,+,1485,1498
METTL21A,ENSG00000144401,IRF7,+,2500,2513
METTL21A,ENSG00000144401,IRF7,+,2506,2519
METTL21A,ENSG00000144401,IRF7,+,2512,2525
METTL21A,ENSG00000144401,IRF7,+,2518,2531
PNISR,ENSG00000132424,IRF7,+,2727,2740
ANKRD54,ENSG00000100124,IRF3,+,2314,2331
ANKRD54,ENSG00000100124,IRF7,+,1975,1988
ANKRD54,ENSG00000100124,IRF7,+,1981,1994
ANKRD54,ENSG00000100124,IRF7,+,1987,2000
ANKRD54,ENSG00000100124,IRF7,+,1993,2006
FAM213A,ENSG00000122378,IRF3,+,76,93
FAM213A,ENSG00000122378,IRF7,+,81,94
SNORD89,ENSG00000212283,IRF3,+,1246,1263
SNORD89,ENSG00000212283,IRF7,+,2172,2185
TUBGCP3,ENSG00000126216,IRF7,+,1193,1206
P3H3,ENSG00000110811,IRF7,+,1728,1741
RWDD1,ENSG00000111832,IRF7,+,202,215
RWDD1,ENSG00000111832,IRF7,+,971,984
RWDD1,ENSG00000111832,IRF7,+,1069,1082
FCHO1,ENSG00000130475,IRF3,+,724,741
FCHO1,ENSG00000130475,IRF3,+,730,747
FCHO1,ENSG00000130475,IRF3,+,737,754
FCHO1,ENSG00000130475,IRF3,+,743,760
FCHO1,ENSG00000130475,IRF7,+,35,48
FCHO1,ENSG00000130475,IRF7,+,41,54
FCHO1,ENSG00000130475,IRF7,+,729,742
FCHO1,ENSG00000130475,IRF7,+,735,748
FCHO1,ENSG00000130475,IRF7,+,1647,1660
DGKK,ENSG00000274588,IRF7,+,1077,1090
WBP11,ENSG00000084463,IRF3,+,109,126
WBP11,ENSG00000084463,IRF3,+,115,132
WBP11,ENSG00000084463,IRF7,+,1110,1123
WBP11,ENSG00000084463,IRF7,+,1222,1235
WBP11,ENSG00000084463,IRF7,+,2634,2647
DNASE1L3,ENSG00000163687,IRF3,+,2505,2522
PLPP4,ENSG00000203805,IRF7,+,308,321
ETV3,ENSG00000117036,IRF3,+,2957,2974
ALG5,ENSG00000120697,IRF7,+,842,855
ALG5,ENSG00000120697,IRF7,+,1188,1201
ALG5,ENSG00000120697,IRF7,+,1620,1633
TMED4,ENSG00000158604,IRF7,+,361,374
TMED4,ENSG00000158604,IRF7,+,661,674
CDH12,ENSG00000154162,IRF7,+,2308,2321
DNAJC17,ENSG00000104129,IRF7,+,2436,2449
CARS2,ENSG00000134905,IRF7,+,1034,1047
SRPRA,ENSG00000182934,IRF7,+,177,190
SEC62,ENSG00000008952,IRF7,+,2071,2084
SPPL2B,ENSG00000005206,IRF7,+,349,362
ORC3,ENSG00000135336,IRF3,+,2283,2300
POFUT1,ENSG00000101346,IRF3,+,659,676
