Gene_Name,Gene_ID,TF,Strand,Start,End
IFNB1,ENSG00000171855,IRF3,+,751,768
IFNB1,ENSG00000171855,IRF3,+,2903,2920
IFNB1,ENSG00000171855,IRF3,+,2909,2926
IFNB1,ENSG00000171855,IRF7,+,1092,1105
IFNB1,ENSG00000171855,IRF7,+,1097,1110
IFNB1,ENSG00000171855,IRF7,+,1149,1162
IFNB1,ENSG00000171855,IRF7,+,2888,2901
IFNB1,ENSG00000171855,IRF7,+,2908,2921
IFNB1,ENSG00000171855,IRF7,-,2,15
IFNB1,ENSG00000171855,IRF7,-,1737,1750
IFNB1,ENSG00000171855,IRF7,-,2303,2316
IFNB1,ENSG00000171855,IRF7,-,2727,2740
IFNB1,ENSG00000171855,IRF7,-,2737,2750
IFIT1,ENSG00000185745,IRF3,+,2585,2602
IFIT1,ENSG00000185745,IRF3,+,2691,2708
IFIT1,ENSG00000185745,IRF3,-,173,190
IFIT1,ENSG00000185745,IRF3,-,1038,1055
IFIT1,ENSG00000185745,IRF3,-,1831,1848
IFIT1,ENSG00000185745,IRF3,-,2954,2971
IFIT1,ENSG00000185745,IRF3,-,2960,2977
IFIT1,ENSG00000185745,IRF3,-,2967,2984
IFIT1,ENSG00000185745,IRF3,-,2973,2990
IFIT1,ENSG00000185745,IRF7,+,1281,1294
IFIT1,ENSG00000185745,IRF7,+,1574,1587
IFIT1,ENSG00000185745,IRF7,+,2590,2603
IFIT1,ENSG00000185745,IRF7,+,2696,2709
IFIT1,ENSG00000185745,IRF7,-,172,185
IFIT1,ENSG00000185745,IRF7,-,424,437
IFIT1,ENSG00000185745,IRF7,-,1006,1019
IFIT1,ENSG00000185745,IRF7,-,1044,1057
IFIT1,ENSG00000185745,IRF7,-,1836,1849
IFIT1,ENSG00000185745,IRF7,-,1975,1988
IFIT1,ENSG00000185745,IRF7,-,2153,2166
IFIT1,ENSG00000185745,IRF7,-,2959,2972
IFIT1,ENSG00000185745,IRF7,-,2972,2985
IFIT1,ENSG00000185745,IRF9,+,2694,2709
IFIT1,ENSG00000185745,IRF9,-,2959,2974
IFIT1,ENSG00000185745,IRF9,-,2972,2987
MX1,ENSG00000157601,IRF3,+,1914,1931
MX1,ENSG00000157601,IRF3,-,1712,1729
MX1,ENSG00000157601,IRF7,+,1919,1932
MX1,ENSG00000157601,IRF7,-,1711,1724
MX1,ENSG00000157601,IRF7,-,1726,1739
MX1,ENSG00000157601,IRF7,-,2798,2811
MX1,ENSG00000157601,IRF9,-,1711,1726
TLR7,ENSG00000196664,IRF7,+,578,591
TLR7,ENSG00000196664,IRF7,+,1754,1767
TLR7,ENSG00000196664,IRF7,+,2738,2751
TLR7,ENSG00000196664,IRF7,+,2777,2790
TLR7,ENSG00000196664,IRF7,-,972,985
TLR7,ENSG00000196664,IRF7,-,1613,1626
