Species,ENSEMBL ID,Gene,Expression,Orthologous Cluster ID
Homo sapiens,ENSG00000157601,MX1,up_regulated,HS6198
Homo sapiens,ENSG00000135114,OASL,up_regulated,HS1036
Homo sapiens,ENSG00000162654,GBP4,up_regulated,HS2530
Homo sapiens,ENSG00000134326,CMPK2,up_regulated,HS10449
Homo sapiens,ENSG00000137959,IFI44L,up_regulated,HS5101
Homo sapiens,ENSG00000119917,IFIT3,up_regulated,HS1573_PV22065
Homo sapiens,ENSG00000121858,TNFSF10,up_regulated,HS6279
Homo sapiens,ENSG00000089127,OAS1,up_regulated,HS6285
Homo sapiens,ENSG00000184979,USP18,up_regulated,HS4182
Homo sapiens,ENSG00000115267,IFIH1,up_regulated,HS4079_SS20292
Homo sapiens,ENSG00000213512,GBP7,up_regulated,HS2530
Homo sapiens,ENSG00000204010,IFIT1B,up_regulated,HS14033
Homo sapiens,ENSG00000154451,GBP5,up_regulated,HS848
Homo sapiens,ENSG00000107201,DDX58,up_regulated,HS10622
Homo sapiens,ENSG00000187608,ISG15,up_regulated,HS67_ML23223_PV22890
Homo sapiens,ENSG00000136514,RTP4,up_regulated,HS12552
Homo sapiens,ENSG00000138642,HERC6,up_regulated,HS13225
Homo sapiens,ENSG00000141497,ZMYND15,up_regulated,HS14403
Homo sapiens,ENSG00000120217,CD274,up_regulated,HS12018
Homo sapiens,ENSG00000177409,SAMD9L,up_regulated,HS14453
Homo sapiens,ENSG00000130589,HELZ2,up_regulated,HS10370
Homo sapiens,ENSG00000137965,IFI44,up_regulated,HS11589
Homo sapiens,ENSG00000164342,TLR3,up_regulated,HS9857
Homo sapiens,ENSG00000179583,CIITA,up_regulated,HS4810
Homo sapiens,ENSG00000172183,ISG20,up_regulated,HS12740
Homo sapiens,ENSG00000173193,PARP14,up_regulated,HS8156
Homo sapiens,ENSG00000132530,XAF1,up_regulated,HS14077
Homo sapiens,ENSG00000185507,IRF7,up_regulated,HS872
Homo sapiens,ENSG00000128335,APOL2,up_regulated,RN16135_HS4889
Homo sapiens,ENSG00000205413,SAMD9,up_regulated,HS13170
Homo sapiens,ENSG00000128284,APOL3,up_regulated,RN16135_HS4889
Homo sapiens,ENSG00000134470,IL15RA,up_regulated,GG24172_HS8410
Homo sapiens,ENSG00000130303,BST2,up_regulated,HS10630
Homo sapiens,ENSG00000205045,SLFN12L,up_regulated,HS3690
Homo sapiens,ENSG00000168961,LGALS9,up_regulated,HS7272
Homo sapiens,ENSG00000168394,TAP1,up_regulated,HS14059
Homo sapiens,ENSG00000106785,TRIM14,up_regulated,HS6534
Homo sapiens,ENSG00000059378,PARP12,up_regulated,HS13133
Homo sapiens,ENSG00000140105,WARS,up_regulated,HS1757
Homo sapiens,ENSG00000196684,HSH2D,up_regulated,HS7342
Homo sapiens,ENSG00000068079,IFI35,up_regulated,HS8810
Homo sapiens,ENSG00000135899,SP110,up_regulated,BT16764_HS10699
Homo sapiens,ENSG00000101347,SAMHD1,up_regulated,HS14347_SS19269
Homo sapiens,ENSG00000161921,CXCL16,up_regulated,HS6129
Homo sapiens,ENSG00000138496,PARP9,up_regulated,HS11297
