Gene_Name,Gene_ID,TF,Strand,Start,End
IFNB1,ENSG00000171855,IRF3,+,751,768
IFNB1,ENSG00000171855,IRF3,+,2903,2920
IFNB1,ENSG00000171855,IRF3,+,2909,2926
IFNB1,ENSG00000171855,IRF7,+,1092,1105
IFNB1,ENSG00000171855,IRF7,+,1097,1110
IFNB1,ENSG00000171855,IRF7,+,1149,1162
IFNB1,ENSG00000171855,IRF7,+,1352,1365
IFNB1,ENSG00000171855,IRF7,+,1410,1423
IFNB1,ENSG00000171855,IRF7,+,2888,2901
IFNB1,ENSG00000171855,IRF7,+,2908,2921
IFNB1,ENSG00000171855,IRF7,+,2921,2934
IFIT1,ENSG00000185745,IRF3,+,2585,2602
IFIT1,ENSG00000185745,IRF3,+,2691,2708
IFIT1,ENSG00000185745,IRF7,+,904,917
IFIT1,ENSG00000185745,IRF7,+,1143,1156
IFIT1,ENSG00000185745,IRF7,+,1281,1294
IFIT1,ENSG00000185745,IRF7,+,1574,1587
IFIT1,ENSG00000185745,IRF7,+,2377,2390
IFIT1,ENSG00000185745,IRF7,+,2590,2603
IFIT1,ENSG00000185745,IRF7,+,2609,2622
IFIT1,ENSG00000185745,IRF7,+,2696,2709
IFIT1,ENSG00000185745,IRF9,+,2694,2709
MX1,ENSG00000157601,IRF3,+,1914,1931
MX1,ENSG00000157601,IRF7,+,319,332
MX1,ENSG00000157601,IRF7,+,1919,1932
MX1,ENSG00000157601,IRF7,+,2762,2775
TLR7,ENSG00000196664,IRF7,+,555,568
TLR7,ENSG00000196664,IRF7,+,578,591
TLR7,ENSG00000196664,IRF7,+,1362,1375
TLR7,ENSG00000196664,IRF7,+,1754,1767
TLR7,ENSG00000196664,IRF7,+,2456,2469
TLR7,ENSG00000196664,IRF7,+,2738,2751
TLR7,ENSG00000196664,IRF7,+,2777,2790
