Gene_Name,Gene_ID,TF,Strand,Start,End
IFNB1,ENSG00000171855,IRF3,+,2903,2920
IFNB1,ENSG00000171855,IRF3,-,5903,5920
IFIT1,ENSG00000185745,IRF3,+,-2827,-2810
IFIT1,ENSG00000185745,IRF3,+,2691,2708
IFIT1,ENSG00000185745,IRF3,+,-40,-23
IFIT1,ENSG00000185745,IRF3,+,-33,-16
IFIT1,ENSG00000185745,IRF3,+,-27,-10
IFIT1,ENSG00000185745,IRF3,-,2973,2990
IFIT1,ENSG00000185745,IRF3,-,2967,2984
IFIT1,ENSG00000185745,IRF3,-,2960,2977
IFIT1,ENSG00000185745,IRF3,-,5691,5708
IFIT1,ENSG00000185745,IRF3,-,173,190
