Gene_Name,Gene_ID,TF,Strand,Start,End
IFNB1,ENSG00000171855,IRF3,+,2903,2920
IFNB1,ENSG00000171855,IRF3,-,-97,-80
IFNB1,ENSG00000171855,IRF7,+,2888,2901
IFNB1,ENSG00000171855,IRF7,-,-112,-99
IFIT1,ENSG00000185745,IRF3,+,-2827,-2810
IFIT1,ENSG00000185745,IRF3,+,2691,2708
IFIT1,ENSG00000185745,IRF3,+,-40,-23
IFIT1,ENSG00000185745,IRF3,+,-33,-16
IFIT1,ENSG00000185745,IRF3,+,-27,-10
IFIT1,ENSG00000185745,IRF3,-,173,190
IFIT1,ENSG00000185745,IRF3,-,-309,-292
IFIT1,ENSG00000185745,IRF3,-,2960,2977
IFIT1,ENSG00000185745,IRF3,-,2967,2984
IFIT1,ENSG00000185745,IRF3,-,2973,2990
IFIT1,ENSG00000185745,IRF7,+,-1994,-1981
IFIT1,ENSG00000185745,IRF7,+,1574,1587
IFIT1,ENSG00000185745,IRF7,+,-1164,-1151
IFIT1,ENSG00000185745,IRF7,+,2590,2603
IFIT1,ENSG00000185745,IRF7,+,2696,2709
IFIT1,ENSG00000185745,IRF7,+,-41,-28
IFIT1,ENSG00000185745,IRF7,+,-28,-15
IFIT1,ENSG00000185745,IRF7,-,1006,1019
IFIT1,ENSG00000185745,IRF7,-,-1426,-1413
IFIT1,ENSG00000185745,IRF7,-,1836,1849
IFIT1,ENSG00000185745,IRF7,-,-410,-397
IFIT1,ENSG00000185745,IRF7,-,-304,-291
IFIT1,ENSG00000185745,IRF7,-,2959,2972
IFIT1,ENSG00000185745,IRF7,-,2972,2985
IFIT1,ENSG00000185745,IRF9,+,2694,2709
IFIT1,ENSG00000185745,IRF9,-,-306,-291
MX1,ENSG00000157601,IRF7,+,-1289,-1276
MX1,ENSG00000157601,IRF7,+,-202,-189
MX1,ENSG00000157601,IRF7,-,1711,1724
MX1,ENSG00000157601,IRF7,-,2798,2811
TLR7,ENSG00000196664,IRF7,+,2738,2751
TLR7,ENSG00000196664,IRF7,+,2777,2790
TLR7,ENSG00000196664,IRF7,-,-262,-249
TLR7,ENSG00000196664,IRF7,-,-223,-210
