Gene_Name,Gene_ID,TF,Strand,Start,End
MX1,ENSG00000157601,IRF3,+,1914,1931
MX1,ENSG00000157601,IRF7,+,1919,1932
OASL,ENSG00000135114,IRF3,+,661,678
OASL,ENSG00000135114,IRF7,+,666,679
OASL,ENSG00000135114,IRF7,+,1329,1342
OASL,ENSG00000135114,IRF7,+,1865,1878
OASL,ENSG00000135114,IRF7,+,1870,1883
OASL,ENSG00000135114,IRF7,+,2174,2187
OASL,ENSG00000135114,IRF7,+,2673,2686
OASL,ENSG00000135114,IRF7,+,2684,2697
OASL,ENSG00000135114,IRF7,+,2692,2705
GBP4,ENSG00000162654,IRF3,+,2700,2717
GBP4,ENSG00000162654,IRF3,+,2738,2755
GBP4,ENSG00000162654,IRF7,+,1401,1414
GBP4,ENSG00000162654,IRF7,+,2705,2718
GBP4,ENSG00000162654,IRF7,+,2732,2745
GBP4,ENSG00000162654,IRF7,+,2981,2994
CMPK2,ENSG00000134326,IRF3,+,978,995
CMPK2,ENSG00000134326,IRF7,+,983,996
CMPK2,ENSG00000134326,IRF7,+,2391,2404
CMPK2,ENSG00000134326,IRF7,+,2608,2621
IFI44L,ENSG00000137959,IRF3,+,105,122
IFI44L,ENSG00000137959,IRF7,+,588,601
IFI44L,ENSG00000137959,IRF7,+,738,751
IFIT3,ENSG00000119917,IRF3,+,830,847
IFIT3,ENSG00000119917,IRF3,+,1793,1810
IFIT3,ENSG00000119917,IRF3,+,1898,1915
IFIT3,ENSG00000119917,IRF7,+,192,205
IFIT3,ENSG00000119917,IRF7,+,448,461
IFIT3,ENSG00000119917,IRF7,+,749,762
IFIT3,ENSG00000119917,IRF7,+,755,768
IFIT3,ENSG00000119917,IRF7,+,792,805
IFIT3,ENSG00000119917,IRF7,+,828,841
IFIT3,ENSG00000119917,IRF7,+,1309,1322
IFIT3,ENSG00000119917,IRF7,+,1652,1665
IFIT3,ENSG00000119917,IRF7,+,2502,2515
TNFSF10,ENSG00000121858,IRF3,+,2093,2110
TNFSF10,ENSG00000121858,IRF7,+,86,99
TNFSF10,ENSG00000121858,IRF7,+,440,453
TNFSF10,ENSG00000121858,IRF7,+,475,488
TNFSF10,ENSG00000121858,IRF7,+,1980,1993
TNFSF10,ENSG00000121858,IRF7,+,2128,2141
OAS1,ENSG00000089127,IRF3,+,2113,2130
OAS1,ENSG00000089127,IRF7,+,730,743
OAS1,ENSG00000089127,IRF7,+,1181,1194
OAS1,ENSG00000089127,IRF7,+,2556,2569
USP18,ENSG00000184979,IRF3,+,221,238
USP18,ENSG00000184979,IRF3,+,462,479
USP18,ENSG00000184979,IRF7,+,220,233
USP18,ENSG00000184979,IRF7,+,226,239
USP18,ENSG00000184979,IRF7,+,231,244
USP18,ENSG00000184979,IRF7,+,2714,2727
USP18,ENSG00000184979,IRF7,+,2914,2927
IFIH1,ENSG00000115267,IRF3,+,379,396
IFIH1,ENSG00000115267,IRF3,+,2967,2984
IFIH1,ENSG00000115267,IRF3,+,2973,2990
IFIH1,ENSG00000115267,IRF7,+,214,227
IFIH1,ENSG00000115267,IRF7,+,314,327
IFIH1,ENSG00000115267,IRF7,+,373,386
IFIH1,ENSG00000115267,IRF7,+,384,397
IFIH1,ENSG00000115267,IRF7,+,422,435
IFIH1,ENSG00000115267,IRF7,+,472,485
IFIH1,ENSG00000115267,IRF7,+,480,493
IFIH1,ENSG00000115267,IRF7,+,1223,1236
IFIH1,ENSG00000115267,IRF7,+,1458,1471
IFIH1,ENSG00000115267,IRF7,+,2044,2057
IFIH1,ENSG00000115267,IRF7,+,2775,2788
IFIH1,ENSG00000115267,IRF7,+,2978,2991
IFIH1,ENSG00000115267,IRF9,+,382,397
IFIH1,ENSG00000115267,IRF9,+,2976,2991
GBP7,ENSG00000213512,IRF7,+,128,141
IFIT1B,ENSG00000204010,IRF7,+,35,48
GBP5,ENSG00000154451,IRF7,+,1018,1031
GBP5,ENSG00000154451,IRF7,+,1507,1520
GBP5,ENSG00000154451,IRF7,+,1533,1546
DDX58,ENSG00000107201,IRF3,+,2209,2226
DDX58,ENSG00000107201,IRF3,+,2348,2365
DDX58,ENSG00000107201,IRF3,+,2552,2569
DDX58,ENSG00000107201,IRF7,+,721,734
DDX58,ENSG00000107201,IRF7,+,739,752
DDX58,ENSG00000107201,IRF7,+,912,925
DDX58,ENSG00000107201,IRF7,+,1275,1288
DDX58,ENSG00000107201,IRF7,+,1523,1536
DDX58,ENSG00000107201,IRF7,+,1533,1546
DDX58,ENSG00000107201,IRF7,+,1534,1547
DDX58,ENSG00000107201,IRF7,+,1823,1836
DDX58,ENSG00000107201,IRF7,+,1829,1842
DDX58,ENSG00000107201,IRF7,+,1941,1954
DDX58,ENSG00000107201,IRF7,+,2074,2087
DDX58,ENSG00000107201,IRF7,+,2075,2088
DDX58,ENSG00000107201,IRF7,+,2124,2137
DDX58,ENSG00000107201,IRF7,+,2214,2227
DDX58,ENSG00000107201,IRF7,+,2347,2360
DDX58,ENSG00000107201,IRF7,+,2442,2455
DDX58,ENSG00000107201,IRF7,+,2551,2564
DDX58,ENSG00000107201,IRF7,+,2729,2742
DDX58,ENSG00000107201,IRF7,+,2864,2877
DDX58,ENSG00000107201,IRF7,+,2869,2882
DDX58,ENSG00000107201,IRF7,+,2890,2903
DDX58,ENSG00000107201,IRF7,+,2947,2960
RTP4,ENSG00000136514,IRF3,+,725,742
RTP4,ENSG00000136514,IRF3,+,2777,2794
RTP4,ENSG00000136514,IRF3,+,2952,2969
RTP4,ENSG00000136514,IRF3,+,2958,2975
RTP4,ENSG00000136514,IRF3,+,2970,2987
RTP4,ENSG00000136514,IRF3,+,2976,2993
RTP4,ENSG00000136514,IRF7,+,132,145
RTP4,ENSG00000136514,IRF7,+,1557,1570
RTP4,ENSG00000136514,IRF7,+,1780,1793
RTP4,ENSG00000136514,IRF7,+,2776,2789
RTP4,ENSG00000136514,IRF7,+,2782,2795
RTP4,ENSG00000136514,IRF7,+,2917,2930
RTP4,ENSG00000136514,IRF7,+,2957,2970
RTP4,ENSG00000136514,IRF7,+,2963,2976
RTP4,ENSG00000136514,IRF7,+,2981,2994
RTP4,ENSG00000136514,IRF9,+,2955,2970
RTP4,ENSG00000136514,IRF9,+,2979,2994
HERC6,ENSG00000138642,IRF7,+,726,739
HERC6,ENSG00000138642,IRF7,+,1151,1164
ZMYND15,ENSG00000141497,IRF3,+,2805,2822
ZMYND15,ENSG00000141497,IRF7,+,355,368
ZMYND15,ENSG00000141497,IRF7,+,828,841
ZMYND15,ENSG00000141497,IRF7,+,1003,1016
ZMYND15,ENSG00000141497,IRF7,+,1303,1316
ZMYND15,ENSG00000141497,IRF7,+,2810,2823
ZMYND15,ENSG00000141497,IRF9,+,2808,2823
CD274,ENSG00000120217,IRF3,+,2047,2064
CD274,ENSG00000120217,IRF3,+,2886,2903
CD274,ENSG00000120217,IRF7,+,545,558
CD274,ENSG00000120217,IRF7,+,1098,1111
CD274,ENSG00000120217,IRF7,+,1288,1301
CD274,ENSG00000120217,IRF7,+,1294,1307
CD274,ENSG00000120217,IRF7,+,1532,1545
CD274,ENSG00000120217,IRF7,+,1917,1930
CD274,ENSG00000120217,IRF7,+,1943,1956
CD274,ENSG00000120217,IRF7,+,2091,2104
CD274,ENSG00000120217,IRF7,+,2891,2904
CD274,ENSG00000120217,IRF9,+,2889,2904
SAMD9L,ENSG00000177409,IRF3,+,1084,1101
SAMD9L,ENSG00000177409,IRF3,+,1482,1499
SAMD9L,ENSG00000177409,IRF3,+,2946,2963
SAMD9L,ENSG00000177409,IRF7,+,38,51
SAMD9L,ENSG00000177409,IRF7,+,39,52
SAMD9L,ENSG00000177409,IRF7,+,1221,1234
SAMD9L,ENSG00000177409,IRF7,+,1481,1494
SAMD9L,ENSG00000177409,IRF7,+,1980,1993
SAMD9L,ENSG00000177409,IRF7,+,2193,2206
SAMD9L,ENSG00000177409,IRF7,+,2945,2958
SAMD9L,ENSG00000177409,IRF7,+,2951,2964
SAMD9L,ENSG00000177409,IRF9,+,2949,2964
TLR3,ENSG00000164342,IRF3,+,356,373
TLR3,ENSG00000164342,IRF3,+,526,543
TLR3,ENSG00000164342,IRF7,+,355,368
TLR3,ENSG00000164342,IRF7,+,361,374
TLR3,ENSG00000164342,IRF7,+,762,775
TLR3,ENSG00000164342,IRF7,+,2216,2229
CIITA,ENSG00000179583,IRF7,+,2404,2417
CIITA,ENSG00000179583,IRF7,+,2412,2425
CIITA,ENSG00000179583,IRF7,+,2868,2881
ISG20,ENSG00000172183,IRF7,+,309,322
PARP14,ENSG00000173193,IRF3,+,175,192
PARP14,ENSG00000173193,IRF3,+,763,780
PARP14,ENSG00000173193,IRF3,+,795,812
PARP14,ENSG00000173193,IRF3,+,2516,2533
PARP14,ENSG00000173193,IRF3,+,2928,2945
PARP14,ENSG00000173193,IRF3,+,2965,2982
PARP14,ENSG00000173193,IRF7,+,180,193
PARP14,ENSG00000173193,IRF7,+,768,781
PARP14,ENSG00000173193,IRF7,+,1273,1286
PARP14,ENSG00000173193,IRF7,+,2521,2534
PARP14,ENSG00000173193,IRF7,+,2863,2876
PARP14,ENSG00000173193,IRF7,+,2964,2977
PARP14,ENSG00000173193,IRF7,+,2970,2983
PARP14,ENSG00000173193,IRF9,+,2968,2983
XAF1,ENSG00000132530,IRF3,+,1099,1116
XAF1,ENSG00000132530,IRF7,+,441,454
XAF1,ENSG00000132530,IRF7,+,1011,1024
XAF1,ENSG00000132530,IRF7,+,2728,2741
IRF7,ENSG00000185507,IRF3,+,2716,2733
IRF7,ENSG00000185507,IRF3,+,2742,2759
IRF7,ENSG00000185507,IRF7,+,2721,2734
IRF7,ENSG00000185507,IRF9,+,2719,2734
APOL2,ENSG00000128335,IRF3,+,1346,1363
APOL2,ENSG00000128335,IRF3,+,1810,1827
APOL2,ENSG00000128335,IRF3,+,2415,2432
APOL2,ENSG00000128335,IRF7,+,949,962
APOL2,ENSG00000128335,IRF7,+,1495,1508
APOL2,ENSG00000128335,IRF7,+,1510,1523
APOL2,ENSG00000128335,IRF7,+,1540,1553
APOL2,ENSG00000128335,IRF7,+,1684,1697
APOL2,ENSG00000128335,IRF7,+,1753,1766
APOL2,ENSG00000128335,IRF7,+,2081,2094
APOL2,ENSG00000128335,IRF7,+,2200,2213
APOL2,ENSG00000128335,IRF7,+,2420,2433
SAMD9,ENSG00000205413,IRF3,+,2330,2347
SAMD9,ENSG00000205413,IRF3,+,2902,2919
SAMD9,ENSG00000205413,IRF3,+,2908,2925
SAMD9,ENSG00000205413,IRF7,+,1926,1939
SAMD9,ENSG00000205413,IRF7,+,2335,2348
SAMD9,ENSG00000205413,IRF7,+,2907,2920
SAMD9,ENSG00000205413,IRF7,+,2913,2926
SAMD9,ENSG00000205413,IRF9,+,2905,2920
APOL3,ENSG00000128284,IRF3,+,517,534
APOL3,ENSG00000128284,IRF3,+,1246,1263
APOL3,ENSG00000128284,IRF7,+,208,221
APOL3,ENSG00000128284,IRF7,+,1043,1056
APOL3,ENSG00000128284,IRF7,+,1195,1208
APOL3,ENSG00000128284,IRF7,+,1251,1264
APOL3,ENSG00000128284,IRF7,+,2747,2760
APOL3,ENSG00000128284,IRF7,+,2951,2964
IL15RA,ENSG00000134470,IRF7,+,1391,1404
IL15RA,ENSG00000134470,IRF7,+,1779,1792
IL15RA,ENSG00000134470,IRF7,+,2156,2169
IL15RA,ENSG00000134470,IRF7,+,2847,2860
BST2,ENSG00000130303,IRF3,+,2864,2881
BST2,ENSG00000130303,IRF3,+,2870,2887
BST2,ENSG00000130303,IRF7,+,195,208
BST2,ENSG00000130303,IRF7,+,200,213
BST2,ENSG00000130303,IRF7,+,205,218
BST2,ENSG00000130303,IRF7,+,2095,2108
BST2,ENSG00000130303,IRF7,+,2869,2882
BST2,ENSG00000130303,IRF7,+,2875,2888
BST2,ENSG00000130303,IRF9,+,2867,2882
BST2,ENSG00000130303,IRF9,+,2873,2888
SLFN12L,ENSG00000205045,IRF3,+,275,292
SLFN12L,ENSG00000205045,IRF3,+,2282,2299
SLFN12L,ENSG00000205045,IRF3,+,2472,2489
SLFN12L,ENSG00000205045,IRF7,+,274,287
SLFN12L,ENSG00000205045,IRF7,+,280,293
SLFN12L,ENSG00000205045,IRF7,+,302,315
SLFN12L,ENSG00000205045,IRF7,+,1853,1866
SLFN12L,ENSG00000205045,IRF7,+,2270,2283
SLFN12L,ENSG00000205045,IRF7,+,2878,2891
LGALS9,ENSG00000168961,IRF7,+,102,115
TAP1,ENSG00000168394,IRF3,+,2229,2246
TAP1,ENSG00000168394,IRF7,+,74,87
TAP1,ENSG00000168394,IRF7,+,1004,1017
TAP1,ENSG00000168394,IRF7,+,1270,1283
TAP1,ENSG00000168394,IRF7,+,1502,1515
TAP1,ENSG00000168394,IRF7,+,2234,2247
TAP1,ENSG00000168394,IRF9,+,2232,2247
TRIM14,ENSG00000106785,IRF3,+,1037,1054
TRIM14,ENSG00000106785,IRF3,+,2404,2421
TRIM14,ENSG00000106785,IRF7,+,1056,1069
TRIM14,ENSG00000106785,IRF7,+,1167,1180
TRIM14,ENSG00000106785,IRF7,+,1721,1734
TRIM14,ENSG00000106785,IRF7,+,1961,1974
TRIM14,ENSG00000106785,IRF7,+,2388,2401
TRIM14,ENSG00000106785,IRF7,+,2408,2421
TRIM14,ENSG00000106785,IRF7,+,2683,2696
PARP12,ENSG00000059378,IRF3,+,573,590
PARP12,ENSG00000059378,IRF7,+,578,591
PARP12,ENSG00000059378,IRF7,+,898,911
PARP12,ENSG00000059378,IRF7,+,1211,1224
WARS,ENSG00000140105,IRF3,+,61,78
WARS,ENSG00000140105,IRF3,+,72,89
WARS,ENSG00000140105,IRF3,+,696,713
WARS,ENSG00000140105,IRF7,+,47,60
WARS,ENSG00000140105,IRF7,+,76,89
WARS,ENSG00000140105,IRF7,+,77,90
WARS,ENSG00000140105,IRF7,+,408,421
WARS,ENSG00000140105,IRF7,+,414,427
WARS,ENSG00000140105,IRF7,+,701,714
WARS,ENSG00000140105,IRF7,+,1455,1468
HSH2D,ENSG00000196684,IRF7,+,1866,1879
IFI35,ENSG00000068079,IRF7,+,1260,1273
SP110,ENSG00000135899,IRF3,+,609,626
SP110,ENSG00000135899,IRF3,+,610,627
SP110,ENSG00000135899,IRF3,+,821,838
SP110,ENSG00000135899,IRF3,+,850,867
SP110,ENSG00000135899,IRF3,+,2982,2999
SP110,ENSG00000135899,IRF7,+,198,211
SP110,ENSG00000135899,IRF7,+,614,627
SP110,ENSG00000135899,IRF7,+,633,646
SP110,ENSG00000135899,IRF7,+,792,805
SP110,ENSG00000135899,IRF7,+,798,811
SP110,ENSG00000135899,IRF7,+,804,817
SP110,ENSG00000135899,IRF7,+,820,833
SP110,ENSG00000135899,IRF7,+,855,868
SP110,ENSG00000135899,IRF7,+,1396,1409
SP110,ENSG00000135899,IRF7,+,1996,2009
SP110,ENSG00000135899,IRF7,+,2987,3000
SP110,ENSG00000135899,IRF9,+,853,868
SAMHD1,ENSG00000101347,IRF3,+,278,295
SAMHD1,ENSG00000101347,IRF7,+,251,264
SAMHD1,ENSG00000101347,IRF7,+,257,270
SAMHD1,ENSG00000101347,IRF7,+,263,276
SAMHD1,ENSG00000101347,IRF7,+,269,282
SAMHD1,ENSG00000101347,IRF7,+,277,290
SAMHD1,ENSG00000101347,IRF7,+,283,296
SAMHD1,ENSG00000101347,IRF7,+,290,303
SAMHD1,ENSG00000101347,IRF7,+,291,304
SAMHD1,ENSG00000101347,IRF7,+,339,352
PARP9,ENSG00000138496,IRF7,+,58,71
PARP9,ENSG00000138496,IRF7,+,177,190
PARP9,ENSG00000138496,IRF7,+,1173,1186
GCH1,ENSG00000131979,IRF3,+,927,944
GCH1,ENSG00000131979,IRF7,+,491,504
GCH1,ENSG00000131979,IRF7,+,497,510
GCH1,ENSG00000131979,IRF7,+,932,945
GCH1,ENSG00000131979,IRF7,+,1220,1233
GCH1,ENSG00000131979,IRF7,+,1950,1963
RNF213,ENSG00000173821,IRF7,+,1647,1660
RNF213,ENSG00000173821,IRF7,+,2161,2174
DHX58,ENSG00000108771,IRF7,+,2472,2485
CCL7,ENSG00000108688,IRF3,+,1341,1358
CCL7,ENSG00000108688,IRF3,+,1347,1364
CCL7,ENSG00000108688,IRF3,+,1483,1500
CCL7,ENSG00000108688,IRF7,+,0,13
CCL7,ENSG00000108688,IRF7,+,51,64
CCL7,ENSG00000108688,IRF7,+,586,599
CCL7,ENSG00000108688,IRF7,+,752,765
CCL7,ENSG00000108688,IRF7,+,1335,1348
CCL7,ENSG00000108688,IRF7,+,1346,1359
CCL7,ENSG00000108688,IRF7,+,1352,1365
CCL7,ENSG00000108688,IRF7,+,1610,1623
CCL7,ENSG00000108688,IRF7,+,1949,1962
CCL7,ENSG00000108688,IRF7,+,2666,2679
TMEM140,ENSG00000146859,IRF3,+,1638,1655
